slug,num,name_en,name_ja,type1,type2,hp,atk,def,spa,spd,spe,ability0_slug,ability1_slug,abilityH_slug,weight_kg,height_m,category,form_type,base_form_slug,fixed_item,fixed_tera_type,gender_rate,sprite_url,nfe,include
surskit,283,Surskit,アメタマ,Bug,Water,40,30,32,50,52,65,swift-swim,,rain-dish,1.7,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,true,○
masquerain,284,Masquerain,アメモース,Bug,Flying,70,60,62,100,82,80,intimidate,,unnerve,3.6,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,false,○
shroomish,285,Shroomish,キノココ,Grass,,60,40,60,40,60,35,effect-spore,poison-heal,quick-feet,4.5,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,true,○
breloom,286,Breloom,キノガッサ,Grass,Fighting,60,130,80,60,60,70,effect-spore,poison-heal,technician,39.2,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,false,○
slakoth,287,Slakoth,ナマケロ,Normal,,60,60,60,35,35,30,truant,,,24,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,true,○
vigoroth,288,Vigoroth,ヤルキモノ,Normal,,80,80,80,55,55,90,vital-spirit,,,46.5,1.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,true,○
slaking,289,Slaking,ケッキング,Normal,,150,160,100,95,65,100,truant,,,130.5,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,false,○
makuhita,296,Makuhita,マクノシタ,Fighting,,72,60,30,20,30,25,thick-fat,guts,sheer-force,86.4,1,normal,base,,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,true,○
hariyama,297,Hariyama,ハリテヤマ,Fighting,,144,120,60,40,60,50,thick-fat,guts,sheer-force,253.8,2.3,normal,base,,,,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,false,○
azurill,298,Azurill,ルリリ,Normal,Fairy,50,20,40,20,40,20,thick-fat,huge-power,sap-sipper,2,0.2,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,true,○
nosepass,299,Nosepass,ノズパス,Rock,,30,45,135,45,90,30,sturdy,magnet-pull,sand-force,97,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,true,○
sableye,302,Sableye,ヤミラミ,Dark,Ghost,50,75,75,65,65,50,keen-eye,stall,prankster,11,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,false,○
sableye-mega,302,Sableye-Mega,メガヤミラミ,Dark,Ghost,50,85,125,85,115,20,magic-bounce,,,161,0.5,normal,mega,sableye,sablenite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10066.png,false,○
mawile,303,Mawile,クチート,Steel,Fairy,50,85,85,55,55,50,hyper-cutter,intimidate,sheer-force,11.5,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,false,○
mawile-mega,303,Mawile-Mega,メガクチート,Steel,Fairy,50,105,125,55,95,50,huge-power,,,23.5,1,normal,mega,mawile,mawilite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10052.png,false,○
aggron,306,Aggron,ボスゴドラ,Steel,Rock,70,110,180,60,60,50,sturdy,rock-head,heavy-metal,360,2.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,false,○
aggron-mega,306,Aggron-Mega,メガボスゴドラ,Steel,,70,140,230,60,80,50,filter,,,395,2.2,normal,mega,aggron,aggronite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10053.png,false,○
meditite,307,Meditite,アサナン,Fighting,Psychic,30,40,55,40,55,60,pure-power,,telepathy,11.2,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,true,○
medicham,308,Medicham,チャーレム,Fighting,Psychic,60,60,75,60,75,80,pure-power,,telepathy,31.5,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,false,○
medicham-mega,308,Medicham-Mega,メガチャーレム,Fighting,Psychic,60,100,85,80,85,100,pure-power,,,31.5,1.3,normal,mega,medicham,medichamite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10054.png,false,○
manectric,310,Manectric,ライボルト,Electric,,70,75,60,105,60,105,static,lightning-rod,minus,40.2,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,false,○
manectric-mega,310,Manectric-Mega,メガライボルト,Electric,,70,75,80,135,80,135,intimidate,,,44,1.8,normal,mega,manectric,manectite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10055.png,false,○
plusle,311,Plusle,プラスル,Electric,,60,50,40,85,75,95,plus,,lightning-rod,4.2,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,false,○
minun,312,Minun,マイナン,Electric,,60,40,50,75,85,95,minus,,volt-absorb,4.2,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,false,○
volbeat,313,Volbeat,バルビート,Bug,,65,73,75,47,85,85,illuminate,swarm,prankster,17.7,0.7,normal,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,false,○
illumise,314,Illumise,イルミーゼ,Bug,,65,47,75,73,85,85,oblivious,tinted-lens,prankster,17.7,0.6,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,false,○
gulpin,316,Gulpin,ゴクリン,Poison,,70,43,53,43,53,40,liquid-ooze,sticky-hold,gluttony,10.3,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,true,○
swalot,317,Swalot,マルノーム,Poison,,100,73,83,73,83,55,liquid-ooze,sticky-hold,gluttony,80,1.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,false,○
sharpedo,319,Sharpedo,サメハダー,Water,Dark,70,120,40,95,40,95,rough-skin,,speed-boost,88.8,1.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,false,○
sharpedo-mega,319,Sharpedo-Mega,メガサメハダー,Water,Dark,70,140,70,110,65,105,strong-jaw,,,130.3,2.5,normal,mega,sharpedo,sharpedonite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10070.png,false,○
numel,322,Numel,ドンメル,Fire,Ground,60,60,40,65,45,35,oblivious,simple,own-tempo,24,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,true,○
camerupt,323,Camerupt,バクーダ,Fire,Ground,70,100,70,105,75,40,magma-armor,solid-rock,anger-point,220,1.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,false,○
camerupt-mega,323,Camerupt-Mega,メガバクーダ,Fire,Ground,70,120,100,145,105,20,sheer-force,,,320.5,2.5,normal,mega,camerupt,cameruptite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10087.png,false,○
torkoal,324,Torkoal,コータス,Fire,,70,85,140,85,70,20,white-smoke,drought,shell-armor,80.4,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,false,○
spoink,325,Spoink,バネブー,Psychic,,60,25,35,70,80,60,thick-fat,own-tempo,gluttony,30.6,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,true,○
grumpig,326,Grumpig,ブーピッグ,Psychic,,80,45,65,90,110,80,thick-fat,own-tempo,gluttony,71.5,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,false,○
trapinch,328,Trapinch,ナックラー,Ground,,45,100,45,45,45,10,hyper-cutter,arena-trap,sheer-force,15,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,true,○
vibrava,329,Vibrava,ビブラーバ,Ground,Dragon,50,70,50,50,50,70,levitate,,,15.3,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,true,○
flygon,330,Flygon,フライゴン,Ground,Dragon,80,100,80,80,80,100,levitate,,,82,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,false,○
cacnea,331,Cacnea,サボネア,Grass,,50,85,40,85,40,35,sand-veil,,water-absorb,51.3,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,true,○
cacturne,332,Cacturne,ノクタス,Grass,Dark,70,115,60,115,60,55,sand-veil,,water-absorb,77.4,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,false,○
swablu,333,Swablu,チルット,Normal,Flying,45,40,60,40,75,50,natural-cure,,cloud-nine,1.2,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,true,○
altaria,334,Altaria,チルタリス,Dragon,Flying,75,70,90,70,105,80,natural-cure,,cloud-nine,20.6,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,false,○
altaria-mega,334,Altaria-Mega,メガチルタリス,Dragon,Fairy,75,110,110,110,105,80,pixilate,,,20.6,1.5,normal,mega,altaria,altarianite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10067.png,false,○
zangoose,335,Zangoose,ザングース,Normal,,73,115,60,60,60,90,immunity,,toxic-boost,40.3,1.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,false,○
seviper,336,Seviper,ハブネーク,Poison,,73,100,60,100,60,65,shed-skin,,infiltrator,52.5,2.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,false,○
barboach,339,Barboach,ドジョッチ,Water,Ground,50,48,43,46,41,60,oblivious,anticipation,hydration,1.9,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,true,○
whiscash,340,Whiscash,ナマズン,Water,Ground,110,78,73,76,71,60,oblivious,anticipation,hydration,23.6,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,false,○
corphish,341,Corphish,ヘイガニ,Water,,43,80,65,50,35,35,hyper-cutter,shell-armor,adaptability,11.5,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,true,○
crawdaunt,342,Crawdaunt,シザリガー,Water,Dark,63,120,85,90,55,55,hyper-cutter,shell-armor,adaptability,32.8,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,false,○
feebas,349,Feebas,ヒンバス,Water,,20,15,20,10,55,80,swift-swim,oblivious,adaptability,7.4,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,true,○
milotic,350,Milotic,ミロカロス,Water,,95,60,79,100,125,81,marvel-scale,competitive,cute-charm,162,6.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,false,○
shuppet,353,Shuppet,カゲボウズ,Ghost,,44,75,35,63,33,45,insomnia,frisk,cursed-body,2.3,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,true,○
banette,354,Banette,ジュペッタ,Ghost,,64,115,65,83,63,65,insomnia,frisk,cursed-body,12.5,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,false,○
banette-mega,354,Banette-Mega,メガジュペッタ,Ghost,,64,165,75,93,83,75,prankster,,,13,1.2,normal,mega,banette,banettite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10056.png,false,○
duskull,355,Duskull,ヨマワル,Ghost,,20,40,90,30,90,25,levitate,,frisk,15,0.8,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,true,○
dusclops,356,Dusclops,サマヨール,Ghost,,40,70,130,60,130,25,pressure,,frisk,30.6,1.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,true,○
tropius,357,Tropius,トロピウス,Grass,Flying,99,68,83,72,87,51,chlorophyll,solar-power,harvest,100,2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,false,○
chimecho,358,Chimecho,チリーン,Psychic,,75,50,80,95,90,65,levitate,,,1,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,false,○
absol,359,Absol,アブソル,Dark,,65,130,60,75,60,75,pressure,super-luck,justified,47,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,false,○
absol-mega,359,Absol-Mega,メガアブソル,Dark,,65,150,60,115,60,115,magic-bounce,,,49,1.2,normal,mega,absol,absolite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10057.png,false,○
snorunt,361,Snorunt,ユキワラシ,Ice,,50,50,50,50,50,50,inner-focus,ice-body,moody,16.8,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,true,○
glalie,362,Glalie,オニゴーリ,Ice,,80,80,80,80,80,80,inner-focus,ice-body,moody,256.5,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,false,○
glalie-mega,362,Glalie-Mega,メガオニゴーリ,Ice,,80,120,80,120,80,100,refrigerate,,,350.2,2.1,normal,mega,glalie,glalitite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10074.png,false,○
luvdisc,370,Luvdisc,ラブカス,Water,,43,30,55,40,65,97,swift-swim,,hydration,8.7,0.6,normal,base,,,,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,false,○
bagon,371,Bagon,タツベイ,Dragon,,45,75,60,40,30,50,rock-head,,sheer-force,42.1,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,true,○
shelgon,372,Shelgon,コモルー,Dragon,,65,95,100,60,50,50,rock-head,,overcoat,110.5,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,true,○
salamence,373,Salamence,ボーマンダ,Dragon,Flying,95,135,80,110,80,100,intimidate,,moxie,102.6,1.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,false,○
salamence-mega,373,Salamence-Mega,メガボーマンダ,Dragon,Flying,95,145,130,120,90,120,aerilate,,,112.6,1.8,normal,mega,salamence,salamencite,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10089.png,false,○
beldum,374,Beldum,ダンバル,Steel,Psychic,40,55,80,35,60,30,clear-body,,light-metal,95.2,0.6,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,true,○
metang,375,Metang,メタング,Steel,Psychic,60,75,100,55,80,50,clear-body,,light-metal,202.5,1.2,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,true,○
metagross,376,Metagross,メタグロス,Steel,Psychic,80,135,130,95,90,70,clear-body,,light-metal,550,1.6,normal,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,false,
metagross-mega,376,Metagross-Mega,メガメタグロス,Steel,Psychic,80,145,150,105,110,110,tough-claws,,,942.9,2.5,normal,mega,metagross,metagrossite,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10076.png,false,
regirock,377,Regirock,レジロック,Rock,,80,100,200,50,100,50,clear-body,,sturdy,230,1.7,sub_legendary,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,false,○
regice,378,Regice,レジアイス,Ice,,80,50,100,100,200,50,clear-body,,ice-body,175,1.8,sub_legendary,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,false,○
registeel,379,Registeel,レジスチル,Steel,,80,75,150,75,150,50,clear-body,,light-metal,205,1.9,sub_legendary,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,false,○
latias,380,Latias,ラティアス,Dragon,Psychic,80,80,90,110,130,110,levitate,,,40,1.4,sub_legendary,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,false,○
latias-mega,380,Latias-Mega,メガラティアス,Dragon,Psychic,80,100,120,140,150,110,levitate,,,52,1.8,sub_legendary,mega,latias,latiasite,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10062.png,false,○
latios,381,Latios,ラティオス,Dragon,Psychic,80,90,80,130,110,110,levitate,,,60,2,sub_legendary,base,,,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,false,○
latios-mega,381,Latios-Mega,メガラティオス,Dragon,Psychic,80,130,100,160,120,110,levitate,,,70,2.3,sub_legendary,mega,latios,latiosite,,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10063.png,false,○
kyogre,382,Kyogre,カイオーガ,Water,,100,100,90,150,140,90,drizzle,,,352,4.5,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,false,○
kyogre-primal,382,Kyogre-Primal,ゲンシカイオーガ,Water,,100,150,90,180,160,90,primordial-sea,,,430,9.8,restricted,primal,kyogre,blue-orb,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10077.png,false,○
groudon,383,Groudon,グラードン,Ground,,100,150,140,100,90,90,drought,,,950,3.5,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,false,○
groudon-primal,383,Groudon-Primal,ゲンシグラードン,Ground,Fire,100,180,160,150,90,90,desolate-land,,,999.7,5,restricted,primal,groudon,red-orb,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10078.png,false,○
rayquaza,384,Rayquaza,レックウザ,Dragon,Flying,105,150,90,150,90,95,air-lock,,,206.5,7,restricted,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,false,○
rayquaza-mega,384,Rayquaza-Mega,メガレックウザ,Dragon,Flying,105,180,100,180,100,115,delta-stream,,,392,10.8,restricted,mega,rayquaza,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10079.png,false,○
jirachi,385,Jirachi,ジラーチ,Steel,Psychic,100,100,100,100,100,100,serene-grace,,,1.1,0.3,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png,false,○
deoxys,386,Deoxys,デオキシス,Psychic,,50,150,50,150,50,150,pressure,,,60.8,1.7,mythical,base,,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png,false,○
deoxys-attack,386,Deoxys-Attack,デオキシス（アタックフォルム）,Psychic,,50,180,20,180,20,150,pressure,,,60.8,1.7,mythical,variant,deoxys,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10001.png,false,○
deoxys-defense,386,Deoxys-Defense,デオキシス（ディフェンスフォルム）,Psychic,,50,70,160,70,160,90,pressure,,,60.8,1.7,mythical,variant,deoxys,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10002.png,false,○
deoxys-speed,386,Deoxys-Speed,デオキシス（スピードフォルム）,Psychic,,50,95,90,95,90,180,pressure,,,60.8,1.7,mythical,variant,deoxys,,,-1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10003.png,false,○
turtwig,387,Turtwig,ナエトル,Grass,,55,68,64,45,55,31,overgrow,,shell-armor,10.2,0.4,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png,true,○
grotle,388,Grotle,ハヤシガメ,Grass,,75,89,85,55,65,36,overgrow,,shell-armor,97,1.1,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png,true,○
torterra,389,Torterra,ドダイトス,Grass,Ground,95,109,105,75,85,56,overgrow,,shell-armor,310,2.2,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png,false,○
chimchar,390,Chimchar,ヒコザル,Fire,,44,58,44,58,44,61,blaze,,iron-fist,6.2,0.5,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png,true,○
monferno,391,Monferno,モウカザル,Fire,Fighting,64,78,52,78,52,81,blaze,,iron-fist,22,0.9,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png,true,○
infernape,392,Infernape,ゴウカザル,Fire,Fighting,76,104,71,104,71,108,blaze,,iron-fist,55,1.2,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png,false,○
piplup,393,Piplup,ポッチャマ,Water,,53,51,53,61,56,40,torrent,,competitive,5.2,0.4,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png,true,○
prinplup,394,Prinplup,ポッタイシ,Water,,64,66,68,81,76,50,torrent,,competitive,23,0.8,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png,true,○
empoleon,395,Empoleon,エンペルト,Water,Steel,84,86,88,111,101,60,torrent,,competitive,84.5,1.7,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png,false,○
starly,396,Starly,ムックル,Normal,Flying,40,55,30,30,30,60,keen-eye,,reckless,2,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png,true,○
staravia,397,Staravia,ムクバード,Normal,Flying,55,75,50,40,40,80,intimidate,,reckless,15.5,0.6,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,true,○
staraptor,398,Staraptor,ムクホーク,Normal,Flying,85,120,70,50,60,100,intimidate,,reckless,24.9,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png,false,○
kricketot,401,Kricketot,コロボーシ,Bug,,37,25,41,25,41,25,shed-skin,,run-away,2.2,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,true,○
kricketune,402,Kricketune,コロトック,Bug,,77,85,51,55,51,65,swarm,,technician,25.5,1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png,false,○
shinx,403,Shinx,コリンク,Electric,,45,65,34,40,34,45,rivalry,intimidate,guts,9.5,0.5,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png,true,○
luxio,404,Luxio,ルクシオ,Electric,,60,85,49,60,49,60,rivalry,intimidate,guts,30.5,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png,true,○
luxray,405,Luxray,レントラー,Electric,,80,120,79,95,79,70,rivalry,intimidate,guts,42,1.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png,false,○
cranidos,408,Cranidos,ズガイドス,Rock,,67,125,40,30,30,58,mold-breaker,,sheer-force,31.5,0.9,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png,true,○
rampardos,409,Rampardos,ラムパルド,Rock,,97,165,60,65,50,58,mold-breaker,,sheer-force,102.5,1.6,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png,false,○
shieldon,410,Shieldon,タテトプス,Rock,Steel,30,42,118,42,88,30,sturdy,,soundproof,57,0.5,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,true,○
bastiodon,411,Bastiodon,トリデプス,Rock,Steel,60,52,168,47,138,30,sturdy,,soundproof,149.5,1.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png,false,○
combee,415,Combee,ミツハニー,Bug,Flying,30,30,42,30,42,70,honey-gather,,hustle,5.5,0.3,normal,base,,,,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png,true,○
vespiquen,416,Vespiquen,ビークイン,Bug,Flying,70,80,102,80,102,40,pressure,,unnerve,38.5,1.2,normal,base,,,,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png,false,○
pachirisu,417,Pachirisu,パチリス,Electric,,60,45,70,45,90,95,run-away,pickup,volt-absorb,3.9,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png,false,○
buizel,418,Buizel,ブイゼル,Water,,55,65,35,60,30,85,swift-swim,,water-veil,29.5,0.7,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png,true,○
floatzel,419,Floatzel,フローゼル,Water,,85,105,55,85,50,115,swift-swim,,water-veil,33.5,1.1,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png,false,○
shellos,422,Shellos,カラナクシ,Water,,76,48,48,57,62,34,sticky-hold,storm-drain,sand-force,6.3,0.3,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png,true,○
gastrodon,423,Gastrodon,トリトドン,Water,Ground,111,83,68,92,82,39,sticky-hold,storm-drain,sand-force,29.9,0.9,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png,false,○
ambipom,424,Ambipom,エテボース,Normal,,75,100,66,60,66,115,technician,pickup,skill-link,20.3,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png,false,○
drifloon,425,Drifloon,フワンテ,Ghost,Flying,90,50,34,60,44,70,aftermath,unburden,flare-boost,1.2,0.4,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png,true,○
drifblim,426,Drifblim,フワライド,Ghost,Flying,150,80,44,90,54,80,aftermath,unburden,flare-boost,15,1.2,normal,base,,,,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png,false,○
