slug,num,name_en,name_ja,type,category,power,accuracy,pp,priority,target,short_desc_en,short_desc_ja,include
magnitude,222,Magnitude,マグニチュード,Ground,Physical,,100,30,0,allAdjacent,Hits adjacent Pokemon. Power varies; 2x on Dig.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
dynamic-punch,223,Dynamic Punch,ばくれつパンチ,Fighting,Physical,100,50,5,0,normal,100% chance to confuse the target.,こん身の　力で パンチを　くりだして　攻撃する。 相手を　必ず　混乱させる。,○
megahorn,224,Megahorn,メガホーン,Bug,Physical,120,85,10,0,normal,No additional effect.,硬くて　りっぱな　つので　おもいっきり 相手を　突き刺して　攻撃する。,○
dragon-breath,225,Dragon Breath,りゅうのいぶき,Dragon,Special,60,100,20,0,normal,30% chance to paralyze the target.,ものすごい　息を 相手に　吹きつけて　攻撃する。 まひ状態に　することが　ある。,○
baton-pass,226,Baton Pass,バトンタッチ,Normal,Status,,,40,0,self,"User switches, passing stat changes and more.",控えの　ポケモンと　入れ替わる。 能力変化は　替わった ポケモンが　そのまま　受けつぐ。,○
encore,227,Encore,アンコール,Normal,Status,,100,5,0,normal,Target repeats its last move for its next 3 turns.,相手に　アンコールした　技を ３回　続けて　出させる。,○
pursuit,228,Pursuit,おいうち,Dark,Physical,40,100,20,0,normal,"If a foe is switching out, hits it at 2x power.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
rapid-spin,229,Rapid Spin,こうそくスピン,Normal,Physical,50,100,40,0,normal,Free user from hazards/bind/Leech Seed; +1 Spe.,回転して　相手を　攻撃する。 しめつける　まきつく　やどりぎのタネ　など 吹きとばす。自分の　素早さも　あがる。,○
sweet-scent,230,Sweet Scent,あまいかおり,Normal,Status,,100,20,0,allAdjacentFoes,Lowers the foe(s) evasiveness by 2.,香りで　相手の　回避率を がくっと　さげる。,○
iron-tail,231,Iron Tail,アイアンテール,Steel,Physical,100,75,15,0,normal,30% chance to lower the target's Defense by 1.,硬い　しっぽで 相手を　たたきつけて　攻撃する。 相手の　防御を　さげることが　ある。,○
metal-claw,232,Metal Claw,メタルクロー,Steel,Physical,50,95,35,0,normal,10% chance to raise the user's Attack by 1.,鋼鉄の　ツメで 相手を　切り裂いて　攻撃する。 自分の　攻撃が　あがることが　ある。,○
vital-throw,233,Vital Throw,あてみなげ,Fighting,Physical,70,,10,-1,normal,This move does not check accuracy. Goes last.,相手より　あとに　攻撃する。 そのかわり　自分の　攻撃は 必ず　命中する。,○
morning-sun,234,Morning Sun,あさのひざし,Normal,Status,,,5,0,self,Heals the user by a weather-dependent amount.,自分の　ＨＰを　回復する。 天気に　よって 回復の　量が　変化する。,○
synthesis,235,Synthesis,こうごうせい,Grass,Status,,,5,0,self,Heals the user by a weather-dependent amount.,自分の　ＨＰを　回復する。 天気に　よって 回復の　量が　変化する。,○
moonlight,236,Moonlight,つきのひかり,Fairy,Status,,,5,0,self,Heals the user by a weather-dependent amount.,自分の　ＨＰを　回復する。 天気に　よって 回復の　量が　変化する。,○
hidden-power,237,Hidden Power,めざめるパワー,Normal,Special,60,100,15,0,normal,Varies in type based on the user's IVs.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Bug,めざめるパワー,Bug,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Dark,めざめるパワー,Dark,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Dragon,めざめるパワー,Dragon,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Electric,めざめるパワー,Electric,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Fighting,めざめるパワー,Fighting,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Fire,めざめるパワー,Fire,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Flying,めざめるパワー,Flying,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Ghost,めざめるパワー,Ghost,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Grass,めざめるパワー,Grass,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Ground,めざめるパワー,Ground,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Ice,めざめるパワー,Ice,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Poison,めざめるパワー,Poison,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Psychic,めざめるパワー,Psychic,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Rock,めざめるパワー,Rock,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Steel,めざめるパワー,Steel,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
hidden-power,237,Hidden Power Water,めざめるパワー,Water,Special,60,100,15,0,normal,,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
cross-chop,238,Cross Chop,クロスチョップ,Fighting,Physical,100,80,5,0,normal,High critical hit ratio.,両手チョップを 相手に　たたきつけて　攻撃する。 急所に　当たりやすい。,○
twister,239,Twister,たつまき,Dragon,Special,40,100,20,0,allAdjacentFoes,20% chance to make the foe(s) flinch.,竜巻を　おこして 相手を　まきこみ　攻撃する。 相手を　ひるませることが　ある。,○
rain-dance,240,Rain Dance,あまごい,Water,Status,,,5,0,all,"For 5 turns, heavy rain powers Water moves.",５ターンの　間　雨を　降らせて みずタイプの　威力を　あげる。 ほのおタイプの　威力は　さがる。,○
sunny-day,241,Sunny Day,にほんばれ,Fire,Status,,,5,0,all,"For 5 turns, intense sunlight powers Fire moves.",５ターンの　間　日差しを　強くして ほのおタイプの　威力を　あげる。 みずタイプの　威力は　さがる。,○
crunch,242,Crunch,かみくだく,Dark,Physical,80,100,15,0,normal,20% chance to lower the target's Defense by 1.,鋭い　歯で 相手を　かみくだいて　攻撃する。 相手の　防御を　さげることが　ある。,○
mirror-coat,243,Mirror Coat,ミラーコート,Psychic,Special,,100,20,-5,scripted,"If hit by special attack, returns double damage.",相手から　受けた　特殊攻撃の ダメージを　２倍に　して その相手に　返す。,○
psych-up,244,Psych Up,じこあんじ,Normal,Status,,,10,0,normal,Copies the target's current stat stages.,自分に　暗示を　かけることで 能力変化の　状態を 相手と　同じにする。,○
extreme-speed,245,Extreme Speed,しんそく,Normal,Physical,80,100,5,2,normal,Nearly always goes first.,目にも　留まらぬ　ものすごい　速さで 相手に　突進して　攻撃する。 必ず　先制攻撃　できる。,○
ancient-power,246,Ancient Power,げんしのちから,Rock,Special,60,100,5,0,normal,10% chance to raise all stats by 1 (not acc/eva).,原始の　力で　攻撃する。 自分の　すべての 能力が　あがることが　ある。,○
shadow-ball,247,Shadow Ball,シャドーボール,Ghost,Special,80,100,15,0,normal,20% chance to lower the target's Sp. Def by 1.,黒い影の　塊を　投げつけて 攻撃する。　相手の　特防を さげることが　ある。,○
future-sight,248,Future Sight,みらいよち,Psychic,Special,120,100,10,0,normal,Hits two turns after being used.,技を　使った　２ターン後に 相手に　念力の 塊を　送って　攻撃する。,○
rock-smash,249,Rock Smash,いわくだき,Fighting,Physical,40,100,15,0,normal,50% chance to lower the target's Defense by 1.,パンチで　攻撃する。相手の 防御を　さげる　ことが　ある。,○
whirlpool,250,Whirlpool,うずしお,Water,Special,35,85,15,0,normal,Traps and damages the target for 4-5 turns.,激しく　渦をまく　水の中に ４ー５ターンの　間 相手を　閉じこめて　攻撃する。,○
beat-up,251,Beat Up,ふくろだたき,Dark,Physical,,100,10,0,normal,All healthy allies aid in damaging the target.,味方　全員で　攻撃する。 仲間の　ポケモンが　多いほど 技の　攻撃回数が　増える。,○
fake-out,252,Fake Out,ねこだまし,Normal,Physical,40,100,10,3,normal,Hits first. First turn out only. 100% flinch chance.,先制攻撃で　相手を　ひるませる。 戦闘に　でたら すぐに　ださないと　成功しない。,○
uproar,253,Uproar,さわぐ,Normal,Special,90,100,10,0,randomNormal,Lasts 3 turns. Active Pokemon cannot fall asleep.,３ターンの　間 騒いで　相手を　攻撃する。 そのあいだは　だれも　眠れなくなる。,○
stockpile,254,Stockpile,たくわえる,Normal,Status,,,20,0,self,"Raises user's Defense, Sp. Def by 1. Max 3 uses.",力を　蓄えて　自分の 防御と　特防を　あげる。 最大　３回まで　蓄えられる。,○
spit-up,255,Spit Up,はきだす,Normal,Special,,100,10,0,normal,More power with more uses of Stockpile.,蓄えた　力を 相手に　ぶつけて　攻撃する。 蓄えているほど　威力が　あがる。,○
swallow,256,Swallow,のみこむ,Normal,Status,,,10,0,self,Heals the user based on uses of Stockpile.,蓄えた　力を　のみこんで 自分の　ＨＰを　回復する。 蓄えているほど　回復する。,○
heat-wave,257,Heat Wave,ねっぷう,Fire,Special,95,90,10,0,allAdjacentFoes,10% chance to burn the foe(s).,熱い　息を 相手に　吹きつけて　攻撃する。 やけど状態に　することが　ある。,○
hail,258,Hail,あられ,Ice,Status,,,10,0,all,"For 5 turns, hail crashes down.",５ターンの　間　あられを　降らして こおりタイプで　ない　ポケモン 全員に　ダメージを　与える。,○
torment,259,Torment,いちゃもん,Dark,Status,,100,15,0,normal,Target can't select the same move twice in a row.,相手に　いちゃもんを　つけて 同じ　技を　２回連続で だせなくする。,○
flatter,260,Flatter,おだてる,Dark,Status,,100,15,0,normal,Raises the target's Sp. Atk by 1 and confuses it.,相手を　おだてて　混乱させる。 同時に　相手の　特攻も あげてしまう。,○
will-o-wisp,261,Will-O-Wisp,おにび,Fire,Status,,85,15,0,normal,Burns the target.,不気味で　怪しい　炎を　放って 相手を　やけどの　状態に　する。,○
memento,262,Memento,おきみやげ,Dark,Status,,100,10,0,normal,"Lowers target's Attack, Sp. Atk by 2. User faints.",自分は　ひんしに　なるが　そのかわりに 相手の　攻撃と　特攻を がくっと　さげる。,○
facade,263,Facade,からげんき,Normal,Physical,70,100,20,0,normal,Power doubles if user is burn/poison/paralyzed.,自分が　毒　まひ　やけど 状態のとき　相手に　くりだすと 技の　威力が　２倍に　なる。,○
focus-punch,264,Focus Punch,きあいパンチ,Fighting,Physical,150,100,20,-3,normal,Fails if the user takes damage before it hits.,精神を　高めて　パンチを　くりだす。 技を　だすまでに 攻撃を　受けると　失敗する。,○
smelling-salts,265,Smelling Salts,きつけ,Normal,Physical,70,100,10,0,normal,"Power doubles if target is paralyzed, and cures it.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
follow-me,266,Follow Me,このゆびとまれ,Normal,Status,,,20,2,self,The foes' moves target the user on the turn used.,自分に　注目させて 相手からの　攻撃を すべて　自分に　むけさせる。,○
nature-power,267,Nature Power,しぜんのちから,Normal,Status,,,20,0,normal,Attack depends on terrain (default Tri Attack).,自然の　力で　攻撃する。 使う　場所で でてくる　技が　変化する。,○
charge,268,Charge,じゅうでん,Electric,Status,,,20,0,self,"+1 SpD, user's next Electric move 2x power.",次の　ターンに　だす　でんきタイプの 技の　威力を　あげる。 自分の　特防も　あがる。,○
taunt,269,Taunt,ちょうはつ,Dark,Status,,100,20,0,normal,Target can't use status moves its next 3 turns.,相手を　怒らせる。　３ターンの 間　相手は　ダメージを 与える　技しか　だせなくなる。,○
helping-hand,270,Helping Hand,てだすけ,Normal,Status,,,20,5,adjacentAlly,One adjacent ally's move power is 1.5x this turn.,仲間を　助ける。 てだすけ　された　ポケモンの　技の 威力は　いつもより　大きくなる。,○
trick,271,Trick,トリック,Psychic,Status,,100,10,0,normal,User switches its held item with the target's.,相手の　すきを　ついて 自分と　相手の 持ち物を　交換する。,○
role-play,272,Role Play,なりきり,Psychic,Status,,,10,0,normal,User replaces its Ability with the target's.,相手に　なりきって　自分も　相手と 同じ　特性に　変化する。,○
wish,273,Wish,ねがいごと,Normal,Status,,,10,0,self,"Next turn, 50% of the user's max HP is restored.",次の　ターンに　自分　もしくは 入れ替わった　ポケモンの　ＨＰを 最大ＨＰの　半分　回復する。,○
assist,274,Assist,ねこのて,Normal,Status,,,20,0,self,Uses a random move known by a team member.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
ingrain,275,Ingrain,ねをはる,Grass,Status,,,20,0,self,Traps/grounds user; heals 1/16 max HP per turn.,大地に　根を　張り 毎ターン　自分の　ＨＰを　回復する。 根を　張っているので　入れ替えられない。,○
superpower,276,Superpower,ばかぢから,Fighting,Physical,120,100,5,0,normal,Lowers the user's Attack and Defense by 1.,すごい　力を　発揮して 相手を　攻撃する。自分の 攻撃と　防御が　さがる。,○
magic-coat,277,Magic Coat,マジックコート,Psychic,Status,,,15,4,self,Bounces back certain non-damaging moves.,状態異常に　なる　技や やどりぎのタネ　などを だされたとき　相手に　跳ね返す。,○
recycle,278,Recycle,リサイクル,Normal,Status,,,10,0,self,Restores the item the user last used.,戦闘中に　使って　なくなった 自分の　持ち物を　再生させて 使えるように　する。,○
revenge,279,Revenge,リベンジ,Fighting,Physical,60,100,10,-4,normal,Power doubles if user is damaged by the target.,相手から　技を　受けていると その相手に　対して 与える　ダメージが　２倍に　なる。,○
brick-break,280,Brick Break,かわらわり,Fighting,Physical,75,100,15,0,normal,"Destroys screens, unless the target is immune.",手刀を　勢いよく　振りおろして 相手を　攻撃する。　ひかりのかべや リフレクター　なども　破壊できる。,○
yawn,281,Yawn,あくび,Normal,Status,,,10,0,normal,Puts the target to sleep after 1 turn.,大きな　あくびで　眠気を　誘う。 次の　ターンに 相手を　眠り状態に　する。,○
knock-off,282,Knock Off,はたきおとす,Dark,Physical,65,100,20,0,normal,1.5x damage if foe holds an item. Removes item.,相手の　持ち物を　はたき　落として 戦闘が　終わるまで　使えなくする。 物を持つ　相手には　ダメージが増す。,○
endeavor,283,Endeavor,がむしゃら,Normal,Physical,,100,5,0,normal,Lowers the target's HP to the user's HP.,相手の　ＨＰが　自分の　ＨＰと 同じくらいに　なるように ダメージを　与える。,○
eruption,284,Eruption,ふんか,Fire,Special,150,100,5,0,allAdjacentFoes,Less power as user's HP decreases. Hits foe(s).,怒りを　爆発させて　相手を 攻撃する。　自分の　ＨＰが 少ないほど　技の　威力は　さがる。,○
skill-swap,285,Skill Swap,スキルスワップ,Psychic,Status,,,10,0,normal,The user and the target trade Abilities.,超能力で　自分の　特性と 相手の　特性を　入れ替える。,○
imprison,286,Imprison,ふういん,Psychic,Status,,,10,0,self,No foe can use any move known by the user.,相手が　自分と　同じ　技を おぼえていたら　相手だけ その技を　使えなくする。,○
refresh,287,Refresh,リフレッシュ,Normal,Status,,,20,0,self,"User cures its burn, poison, or paralysis.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
grudge,288,Grudge,おんねん,Ghost,Status,,,5,0,self,"If the user faints, the attack used loses all its PP.",相手の　技で　ひんしに　されたとき おんねんを　かけて その技の　ＰＰを　０に　する。,○
snatch,289,Snatch,よこどり,Dark,Status,,,10,4,self,User steals certain support moves to use itself.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
secret-power,290,Secret Power,ひみつのちから,Normal,Physical,70,100,20,0,normal,Effect varies with terrain. (30% paralysis chance),この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
dive,291,Dive,ダイビング,Water,Physical,80,100,10,0,normal,"Dives underwater turn 1, strikes turn 2.",１ターン目で　潜り　２ターン目に 浮きあがって　攻撃する。,○
arm-thrust,292,Arm Thrust,つっぱり,Fighting,Physical,15,100,20,0,normal,Hits 2-5 times in one turn.,ひらいた　両手で 相手を　つっぱって　攻撃する。 ２ー５回の　間　連続で　だす。,○
camouflage,293,Camouflage,ほごしょく,Normal,Status,,,20,0,self,Changes user's type by terrain (default Normal).,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
tail-glow,294,Tail Glow,ほたるび,Bug,Status,,,20,0,self,Raises the user's Sp. Atk by 3.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
luster-purge,295,Luster Purge,ラスターパージ,Psychic,Special,95,100,5,0,normal,50% chance to lower the target's Sp. Def by 1.,まばゆい　光を 解放して　攻撃する。 相手の　特防を　さげることが　ある。,○
mist-ball,296,Mist Ball,ミストボール,Psychic,Special,95,100,5,0,normal,50% chance to lower the target's Sp. Atk by 1.,霧状の　羽毛で　包みこみ 攻撃する。 相手の　特攻を　さげることが　ある。,○
feather-dance,297,Feather Dance,フェザーダンス,Flying,Status,,100,15,0,normal,Lowers the target's Attack by 2.,羽毛を　ふりまいて 相手の　体に　からませる。 相手の　攻撃を　がくっと　さげる。,○
teeter-dance,298,Teeter Dance,フラフラダンス,Normal,Status,,100,20,0,allAdjacent,Confuses adjacent Pokemon.,フラフラと　ダンスを　おどって 自分の　周りに　いるものを 混乱状態に　させる。,○
blaze-kick,299,Blaze Kick,ブレイズキック,Fire,Physical,85,90,10,0,normal,High critical hit ratio. 10% chance to burn.,攻撃した　相手を やけど状態に　することが　ある。 急所にも　当たりやすい。,○
mud-sport,300,Mud Sport,どろあそび,Ground,Status,,,15,0,all,"For 5 turns, Electric-type attacks have 1/3 power.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
ice-ball,301,Ice Ball,アイスボール,Ice,Physical,30,90,20,0,normal,Power doubles with each hit. Repeats for 5 turns.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
needle-arm,302,Needle Arm,ニードルアーム,Grass,Physical,60,100,15,0,normal,30% chance to make the target flinch.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
slack-off,303,Slack Off,なまける,Normal,Status,,,5,0,self,Heals the user by 50% of its max HP.,怠けて　やすむ。 自分の　ＨＰを　最大ＨＰの 半分　回復する。,○
hyper-voice,304,Hyper Voice,ハイパーボイス,Normal,Special,90,100,10,0,allAdjacentFoes,No additional effect. Hits adjacent foes.,うるさく　響く　大きな　振動を 相手に　与えて　攻撃する。,○
poison-fang,305,Poison Fang,どくどくのキバ,Poison,Physical,50,100,15,0,normal,50% chance to badly poison the target.,毒の　ある　キバで 相手に　かみついて　攻撃する。 猛毒を　おわせる　ことが　ある。,○
crush-claw,306,Crush Claw,ブレイククロー,Normal,Physical,75,95,10,0,normal,50% chance to lower the target's Defense by 1.,硬く　鋭い　ツメで 切り裂いて　攻撃する。 相手の　防御を　さげることが　ある。,○
blast-burn,307,Blast Burn,ブラストバーン,Fire,Special,150,90,5,0,normal,User cannot move next turn.,爆発の　炎で 相手を　焼きつくして　攻撃する。 次の　ターンは　動けなくなる。,○
hydro-cannon,308,Hydro Cannon,ハイドロカノン,Water,Special,150,90,5,0,normal,User cannot move next turn.,水の　大砲を 相手に　発射して　攻撃する。 次の　ターンは　動けなくなる。,○
meteor-mash,309,Meteor Mash,コメットパンチ,Steel,Physical,90,90,10,0,normal,20% chance to raise the user's Attack by 1.,すい星の　ごとく　パンチを　くりだして 相手を　攻撃する。　自分の 攻撃が　あがることが　ある。,○
astonish,310,Astonish,おどろかす,Ghost,Physical,30,100,15,0,normal,30% chance to make the target flinch.,大きな　声などで 不意に　驚かして　攻撃する。 相手を　ひるませることが　ある。,○
weather-ball,311,Weather Ball,ウェザーボール,Normal,Special,50,100,10,0,normal,Power doubles and type varies in each weather.,使ったときの　天気に　よって 技の　タイプと　威力が　変わる。,○
aromatherapy,312,Aromatherapy,アロマセラピー,Grass,Status,,,5,0,allyTeam,Cures the user's party of all status conditions.,心地好い　やすらぐ　香りを　かがせて 味方全員の　状態異常を　回復する。,○
fake-tears,313,Fake Tears,うそなき,Dark,Status,,100,20,0,normal,Lowers the target's Sp. Def by 2.,ないた　ふりをして　涙を　流す。 こまらせる　ことで 相手の　特防を　がくっと　さげる。,○
air-cutter,314,Air Cutter,エアカッター,Flying,Special,60,95,25,0,allAdjacentFoes,High critical hit ratio. Hits adjacent foes.,鋭い　風で 相手を　切りつけて　攻撃する。 急所に　当たりやすい。,○
overheat,315,Overheat,オーバーヒート,Fire,Special,130,90,5,0,normal,Lowers the user's Sp. Atk by 2.,フルパワーで　相手を　攻撃する。 使うと　反動で 自分の　特攻が　がくっと　さがる。,○
odor-sleuth,316,Odor Sleuth,かぎわける,Normal,Status,,,40,0,normal,"Fighting, Normal hit Ghost. Evasiveness ignored.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
rock-tomb,317,Rock Tomb,がんせきふうじ,Rock,Physical,60,95,15,0,normal,100% chance to lower the target's Speed by 1.,岩石を　投げつけて　攻撃する。 相手の　動きを　封じることで 素早さを　さげる。,○
silver-wind,318,Silver Wind,ぎんいろのかぜ,Bug,Special,60,100,5,0,normal,10% chance to raise all stats by 1 (not acc/eva).,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
metal-sound,319,Metal Sound,きんぞくおん,Steel,Status,,85,40,0,normal,Lowers the target's Sp. Def by 2.,金属を　こすって　でるような いやな　音を　聞かせる。 相手の　特防を　がくっと　さげる。,○
grass-whistle,320,Grass Whistle,くさぶえ,Grass,Status,,55,15,0,normal,Causes the target to fall asleep.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
tickle,321,Tickle,くすぐる,Normal,Status,,100,20,0,normal,Lowers the target's Attack and Defense by 1.,体を　くすぐり　笑わせる　ことで 相手の　攻撃と　防御を　さげる。,○
cosmic-power,322,Cosmic Power,コスモパワー,Psychic,Status,,,20,0,self,Raises the user's Defense and Sp. Def by 1.,宇宙から　神秘の　力を とりこむ　ことで 自分の　防御と　特防を　あげる。,○
water-spout,323,Water Spout,しおふき,Water,Special,150,100,5,0,allAdjacentFoes,Less power as user's HP decreases. Hits foe(s).,潮を　吹きつけて　攻撃する。 自分の　ＨＰが　少ないほど 技の　威力は　さがる。,○
signal-beam,324,Signal Beam,シグナルビーム,Bug,Special,75,100,15,0,normal,10% chance to confuse the target.,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
shadow-punch,325,Shadow Punch,シャドーパンチ,Ghost,Physical,60,,20,0,normal,This move does not check accuracy.,影に　まぎれて　パンチを　くりだす。 攻撃は　必ず　命中する。,○
extrasensory,326,Extrasensory,じんつうりき,Psychic,Special,80,100,20,0,normal,10% chance to make the target flinch.,みえない　不思議な　力を 送って　攻撃する。 相手を　ひるませることが　ある。,○
sky-uppercut,327,Sky Uppercut,スカイアッパー,Fighting,Physical,85,90,15,0,normal,"Can hit Pokemon using Bounce, Fly, or Sky Drop.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
sand-tomb,328,Sand Tomb,すなじごく,Ground,Physical,35,85,15,0,normal,Traps and damages the target for 4-5 turns.,激しく　吹きあれる　砂あらしの 中に　４ー５ターンの　間 相手を　閉じこめて　攻撃する。,○
sheer-cold,329,Sheer Cold,ぜったいれいど,Ice,Special,,30,5,0,normal,OHKOs non-Ice targets. Fails if user's lower level.,相手を　一撃で　瀕死に　する。 こおりタイプ　以外の　ポケモンが 使うと　当たりにくい。,○
muddy-water,330,Muddy Water,だくりゅう,Water,Special,90,85,10,0,allAdjacentFoes,30% chance to lower the foe(s) accuracy by 1.,濁った　水を 相手に　発射して　攻撃する。 命中率を　さげることが　ある。,○
bullet-seed,331,Bullet Seed,タネマシンガン,Grass,Physical,25,100,30,0,normal,Hits 2-5 times in one turn.,タネを　勢いよく 相手に　発射して　攻撃する。 ２ー５回の　間　連続で　だす。,○
aerial-ace,332,Aerial Ace,つばめがえし,Flying,Physical,60,,20,0,any,This move does not check accuracy.,素早い　動きで 相手を　ほんろうして　切りつける。 攻撃は　必ず　命中する。,○
icicle-spear,333,Icicle Spear,つららばり,Ice,Physical,25,100,30,0,normal,Hits 2-5 times in one turn.,鋭い　氷柱を 相手に　発射して　攻撃する。 ２ー５回の　間　連続で　だす。,○
iron-defense,334,Iron Defense,てっぺき,Steel,Status,,,15,0,self,Raises the user's Defense by 2.,皮膚を　鉄のように 硬くする　ことで 自分の　防御を　ぐーんと　あげる。,○
block,335,Block,とおせんぼう,Normal,Status,,,5,0,normal,Prevents the target from switching out.,両手を　ひろげて　たちはだかり 相手の　逃げ道を　ふさいで 逃げられなくする。,○
howl,336,Howl,とおぼえ,Normal,Status,,,40,0,allies,Raises the user's and ally's Attack by 1.,大声で　ほえて　気合を　高め 自分と　味方の　攻撃を　あげる。,○
dragon-claw,337,Dragon Claw,ドラゴンクロー,Dragon,Physical,80,100,15,0,normal,No additional effect.,鋭く　とがった　巨大な　ツメで 相手を　切り裂いて　攻撃する。,○
frenzy-plant,338,Frenzy Plant,ハードプラント,Grass,Special,150,90,5,0,normal,User cannot move next turn.,大きな　樹木で 相手を　たたきつけて　攻撃する。 次の　ターンは　動けなくなる。,○
bulk-up,339,Bulk Up,ビルドアップ,Fighting,Status,,,20,0,self,Raises the user's Attack and Defense by 1.,体に　力を　こめて 筋肉を　ぶあつく　することで 自分の　攻撃と　防御を　あげる。,○
bounce,340,Bounce,とびはねる,Flying,Physical,85,85,5,0,any,Bounces turn 1. Hits turn 2. 30% paralyze.,空高く　飛び跳ねて ２ターン目に　相手を　攻撃する。 まひ状態に　することが　ある。,○
mud-shot,341,Mud Shot,マッドショット,Ground,Special,55,95,15,0,normal,100% chance to lower the target's Speed by 1.,泥の　塊を 相手に　投げつけて　攻撃する。 同時に　相手の　素早さを　さげる。,○
poison-tail,342,Poison Tail,ポイズンテール,Poison,Physical,50,100,25,0,normal,High critical hit ratio. 10% chance to poison.,しっぽで　たたく。 毒状態に　することが　あり 急所にも　当たりやすい。,○
covet,343,Covet,ほしがる,Normal,Physical,60,100,25,0,normal,"If the user has no item, it steals the target's.",かわいく　あまえながら 相手に　ちかづき 持っている　道具を　うばう。,○
volt-tackle,344,Volt Tackle,ボルテッカー,Electric,Physical,120,100,15,0,normal,Has 33% recoil. 10% chance to paralyze target.,電気を　まとって　突進する。 自分も　かなり　ダメージを　受ける。 まひ状態に　することが　ある。,○
magical-leaf,345,Magical Leaf,マジカルリーフ,Grass,Special,60,,20,0,normal,This move does not check accuracy.,相手を　追跡する 不思議な　はっぱを　まきちらす。 攻撃は　必ず　命中する。,○
water-sport,346,Water Sport,みずあそび,Water,Status,,,15,0,all,"For 5 turns, Fire-type attacks have 1/3 power.",この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,○
calm-mind,347,Calm Mind,めいそう,Psychic,Status,,,20,0,self,Raises the user's Sp. Atk and Sp. Def by 1.,静かに　精神を　統一し 心を　鎮めることで　自分の 特攻と　特防を　あげる。,○
leaf-blade,348,Leaf Blade,リーフブレード,Grass,Physical,90,100,15,0,normal,High critical hit ratio.,はっぱを　剣のように　あやつり 相手を　切りつけて　攻撃する。 急所に　当たりやすい。,○
